,strain,pHMM,hsp_score
820,Roseburia-intestinalis-L1-82-MAF-2,metC,210.7
821,Roseburia-intestinalis-L1-82-MAF-2,metCcustom,473.5
822,Roseburia_intestinalis,cysK,457.8
823,Roseburia_intestinalis,cysKcustom,543.0
824,Roseburia_intestinalis,cysM,316.0
825,Roseburia_intestinalis,cysMcustom,369.6
826,Roseburia_intestinalis,lcd,64.9
827,Roseburia_intestinalis,lcdcustom,66.5
828,Roseburia_intestinalis,malY,478.1
829,Roseburia_intestinalis,malYcustom,593.1
830,Roseburia_intestinalis,metC,210.7
831,Roseburia_intestinalis,metCcustom,473.5
832,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysK,453.1
833,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysKcustom,520.1
834,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysM,303.3
835,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysMcustom,370.1
836,Ruminococcus-gauvreauii-DSM-19829-MAF-2,lcd,40.1
837,Ruminococcus-gauvreauii-DSM-19829-MAF-2,lcdcustom,37.5
838,Ruminococcus-gauvreauii-DSM-19829-MAF-2,malY,459.5
839,Ruminococcus-gauvreauii-DSM-19829-MAF-2,malYcustom,563.1
840,Ruminococcus-gauvreauii-DSM-19829-MAF-2,metC,275.8
841,Ruminococcus-gauvreauii-DSM-19829-MAF-2,metCcustom,431.4
842,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysK,449.6
843,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysKcustom,531.3
844,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysM,296.4
845,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysMcustom,355.5
846,Ruminococcus-lactaris-ATCC-29176-MAF-2,lcd,33.4
847,Ruminococcus-lactaris-ATCC-29176-MAF-2,lcdcustom,29.4
848,Ruminococcus-lactaris-ATCC-29176-MAF-2,malY,468.0
849,Ruminococcus-lactaris-ATCC-29176-MAF-2,malYcustom,567.9
850,Ruminococcus-lactaris-ATCC-29176-MAF-2,metC,216.5
851,Ruminococcus-lactaris-ATCC-29176-MAF-2,metCcustom,475.9
852,Ruminococcus-torques-ATCC-27756-MAF-2,cysK,458.3
853,Ruminococcus-torques-ATCC-27756-MAF-2,cysKcustom,529.4
854,Ruminococcus-torques-ATCC-27756-MAF-2,cysM,303.6
855,Ruminococcus-torques-ATCC-27756-MAF-2,cysMcustom,377.4
856,Ruminococcus-torques-ATCC-27756-MAF-2,lcd,30.3
857,Ruminococcus-torques-ATCC-27756-MAF-2,lcdcustom,43.4
858,Ruminococcus-torques-ATCC-27756-MAF-2,malY,139.2
859,Ruminococcus-torques-ATCC-27756-MAF-2,malYcustom,193.2
860,Ruminococcus-torques-ATCC-27756-MAF-2,metC,110.2
861,Ruminococcus-torques-ATCC-27756-MAF-2,metCcustom,376.4
862,Ruminococcus_bromii,cysK,442.5
863,Ruminococcus_bromii,cysKcustom,523.5
864,Ruminococcus_bromii,cysM,305.0
865,Ruminococcus_bromii,cysMcustom,367.4
866,Ruminococcus_bromii,lcd,49.8
867,Ruminococcus_bromii,lcdcustom,52.3
868,Ruminococcus_bromii,malY,137.6
869,Ruminococcus_bromii,malYcustom,204.9
870,Ruminococcus_bromii,metC,115.0
871,Ruminococcus_bromii,metCcustom,320.8
872,Streptococcus-thermophilus-LMD-9-MAF-2,cysK,429.4
873,Streptococcus-thermophilus-LMD-9-MAF-2,cysKcustom,509.5
874,Streptococcus-thermophilus-LMD-9-MAF-2,cysM,298.2
875,Streptococcus-thermophilus-LMD-9-MAF-2,cysMcustom,354.6
876,Streptococcus-thermophilus-LMD-9-MAF-2,lcd,47.2
877,Streptococcus-thermophilus-LMD-9-MAF-2,lcdcustom,59.9
878,Streptococcus-thermophilus-LMD-9-MAF-2,malY,395.6
879,Streptococcus-thermophilus-LMD-9-MAF-2,malYcustom,522.8
880,Streptococcus-thermophilus-LMD-9-MAF-2,metC,149.3
881,Streptococcus-thermophilus-LMD-9-MAF-2,metCcustom,384.6
882,Subdoligranulum-variabile-DSM-15176-MAF-2,cysK,454.4
883,Subdoligranulum-variabile-DSM-15176-MAF-2,cysKcustom,533.5
884,Subdoligranulum-variabile-DSM-15176-MAF-2,cysM,305.8
885,Subdoligranulum-variabile-DSM-15176-MAF-2,cysMcustom,374.2
886,Subdoligranulum-variabile-DSM-15176-MAF-2,lcd,28.6
887,Subdoligranulum-variabile-DSM-15176-MAF-2,lcdcustom,24.2
888,Subdoligranulum-variabile-DSM-15176-MAF-2,malY,292.3
889,Subdoligranulum-variabile-DSM-15176-MAF-2,malYcustom,430.7
890,Subdoligranulum-variabile-DSM-15176-MAF-2,metC,110.6
891,Subdoligranulum-variabile-DSM-15176-MAF-2,metCcustom,230.9
892,Tyzzerella-nexilis-DSM-1787-MAF-2,cysK,444.3
893,Tyzzerella-nexilis-DSM-1787-MAF-2,cysKcustom,514.4
894,Tyzzerella-nexilis-DSM-1787-MAF-2,cysM,306.0
895,Tyzzerella-nexilis-DSM-1787-MAF-2,cysMcustom,362.6
896,Tyzzerella-nexilis-DSM-1787-MAF-2,lcd,36.4
897,Tyzzerella-nexilis-DSM-1787-MAF-2,lcdcustom,29.7
898,Tyzzerella-nexilis-DSM-1787-MAF-2,malY,396.5
899,Tyzzerella-nexilis-DSM-1787-MAF-2,malYcustom,494.4
900,Tyzzerella-nexilis-DSM-1787-MAF-2,metC,116.7
901,Tyzzerella-nexilis-DSM-1787-MAF-2,metCcustom,246.0
902,Tyzzerella-nexilis-DSM-1787-MAF-2,tnaA,14.3
903,Veillonella-sp-3-1-44-MAF-2,cysK,434.6
904,Veillonella-sp-3-1-44-MAF-2,cysKcustom,518.2
905,Veillonella-sp-3-1-44-MAF-2,cysM,285.2
906,Veillonella-sp-3-1-44-MAF-2,cysMcustom,352.2
907,Veillonella-sp-3-1-44-MAF-2,lcd,59.2
908,Veillonella-sp-3-1-44-MAF-2,lcdcustom,68.2
909,Veillonella-sp-3-1-44-MAF-2,malY,454.5
910,Veillonella-sp-3-1-44-MAF-2,malYcustom,569.8
911,Veillonella-sp-3-1-44-MAF-2,metC,244.0
912,Veillonella-sp-3-1-44-MAF-2,metCcustom,525.2
913,Veillonella-sp-6-1-27-MAF-2,cysK,434.6
914,Veillonella-sp-6-1-27-MAF-2,cysKcustom,518.2
915,Veillonella-sp-6-1-27-MAF-2,cysM,285.2
916,Veillonella-sp-6-1-27-MAF-2,cysMcustom,352.2
917,Veillonella-sp-6-1-27-MAF-2,lcd,59.3
918,Veillonella-sp-6-1-27-MAF-2,lcdcustom,68.9
919,Veillonella-sp-6-1-27-MAF-2,malY,455.3
920,Veillonella-sp-6-1-27-MAF-2,malYcustom,565.6
921,Veillonella-sp-6-1-27-MAF-2,metC,244.0
922,Veillonella-sp-6-1-27-MAF-2,metCcustom,525.2
