,strain,pHMM,hit_score
820,Roseburia-intestinalis-L1-82-MAF-2,metC,210.9
821,Roseburia-intestinalis-L1-82-MAF-2,metCcustom,473.6
822,Roseburia_intestinalis,cysK,457.9
823,Roseburia_intestinalis,cysKcustom,543.1
824,Roseburia_intestinalis,cysM,316.2
825,Roseburia_intestinalis,cysMcustom,369.8
826,Roseburia_intestinalis,lcd,66.9
827,Roseburia_intestinalis,lcdcustom,67.2
828,Roseburia_intestinalis,malY,478.3
829,Roseburia_intestinalis,malYcustom,593.2
830,Roseburia_intestinalis,metC,210.9
831,Roseburia_intestinalis,metCcustom,473.6
832,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysK,453.3
833,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysKcustom,520.2
834,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysM,303.5
835,Ruminococcus-gauvreauii-DSM-19829-MAF-2,cysMcustom,370.2
836,Ruminococcus-gauvreauii-DSM-19829-MAF-2,lcd,40.9
837,Ruminococcus-gauvreauii-DSM-19829-MAF-2,lcdcustom,39.1
838,Ruminococcus-gauvreauii-DSM-19829-MAF-2,malY,459.7
839,Ruminococcus-gauvreauii-DSM-19829-MAF-2,malYcustom,563.3
840,Ruminococcus-gauvreauii-DSM-19829-MAF-2,metC,276.0
841,Ruminococcus-gauvreauii-DSM-19829-MAF-2,metCcustom,431.5
842,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysK,449.7
843,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysKcustom,531.4
844,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysM,296.7
845,Ruminococcus-lactaris-ATCC-29176-MAF-2,cysMcustom,355.7
846,Ruminococcus-lactaris-ATCC-29176-MAF-2,lcd,35.7
847,Ruminococcus-lactaris-ATCC-29176-MAF-2,lcdcustom,34.2
848,Ruminococcus-lactaris-ATCC-29176-MAF-2,malY,468.1
849,Ruminococcus-lactaris-ATCC-29176-MAF-2,malYcustom,568.0
850,Ruminococcus-lactaris-ATCC-29176-MAF-2,metC,216.6
851,Ruminococcus-lactaris-ATCC-29176-MAF-2,metCcustom,476.0
852,Ruminococcus-torques-ATCC-27756-MAF-2,cysK,458.5
853,Ruminococcus-torques-ATCC-27756-MAF-2,cysKcustom,529.5
854,Ruminococcus-torques-ATCC-27756-MAF-2,cysM,303.8
855,Ruminococcus-torques-ATCC-27756-MAF-2,cysMcustom,377.6
856,Ruminococcus-torques-ATCC-27756-MAF-2,lcd,34.2
857,Ruminococcus-torques-ATCC-27756-MAF-2,lcdcustom,44.0
858,Ruminococcus-torques-ATCC-27756-MAF-2,malY,139.4
859,Ruminococcus-torques-ATCC-27756-MAF-2,malYcustom,193.4
860,Ruminococcus-torques-ATCC-27756-MAF-2,metC,199.2
861,Ruminococcus-torques-ATCC-27756-MAF-2,metCcustom,383.5
862,Ruminococcus_bromii,cysK,442.7
863,Ruminococcus_bromii,cysKcustom,523.6
864,Ruminococcus_bromii,cysM,305.2
865,Ruminococcus_bromii,cysMcustom,367.6
866,Ruminococcus_bromii,lcd,59.6
867,Ruminococcus_bromii,lcdcustom,61.6
868,Ruminococcus_bromii,malY,137.9
869,Ruminococcus_bromii,malYcustom,205.0
870,Ruminococcus_bromii,metC,203.1
871,Ruminococcus_bromii,metCcustom,390.4
872,Streptococcus-thermophilus-LMD-9-MAF-2,cysK,429.6
873,Streptococcus-thermophilus-LMD-9-MAF-2,cysKcustom,509.7
874,Streptococcus-thermophilus-LMD-9-MAF-2,cysM,298.4
875,Streptococcus-thermophilus-LMD-9-MAF-2,cysMcustom,354.8
876,Streptococcus-thermophilus-LMD-9-MAF-2,lcd,54.4
877,Streptococcus-thermophilus-LMD-9-MAF-2,lcdcustom,61.5
878,Streptococcus-thermophilus-LMD-9-MAF-2,malY,395.8
879,Streptococcus-thermophilus-LMD-9-MAF-2,malYcustom,523.0
880,Streptococcus-thermophilus-LMD-9-MAF-2,metC,194.1
881,Streptococcus-thermophilus-LMD-9-MAF-2,metCcustom,396.4
882,Subdoligranulum-variabile-DSM-15176-MAF-2,cysK,454.6
883,Subdoligranulum-variabile-DSM-15176-MAF-2,cysKcustom,533.7
884,Subdoligranulum-variabile-DSM-15176-MAF-2,cysM,306.0
885,Subdoligranulum-variabile-DSM-15176-MAF-2,cysMcustom,374.4
886,Subdoligranulum-variabile-DSM-15176-MAF-2,lcd,29.2
887,Subdoligranulum-variabile-DSM-15176-MAF-2,lcdcustom,24.8
888,Subdoligranulum-variabile-DSM-15176-MAF-2,malY,292.5
889,Subdoligranulum-variabile-DSM-15176-MAF-2,malYcustom,431.0
890,Subdoligranulum-variabile-DSM-15176-MAF-2,metC,178.6
891,Subdoligranulum-variabile-DSM-15176-MAF-2,metCcustom,363.2
892,Tyzzerella-nexilis-DSM-1787-MAF-2,cysK,444.5
893,Tyzzerella-nexilis-DSM-1787-MAF-2,cysKcustom,514.6
894,Tyzzerella-nexilis-DSM-1787-MAF-2,cysM,306.2
895,Tyzzerella-nexilis-DSM-1787-MAF-2,cysMcustom,362.8
896,Tyzzerella-nexilis-DSM-1787-MAF-2,lcd,37.6
897,Tyzzerella-nexilis-DSM-1787-MAF-2,lcdcustom,33.2
898,Tyzzerella-nexilis-DSM-1787-MAF-2,malY,396.8
899,Tyzzerella-nexilis-DSM-1787-MAF-2,malYcustom,494.5
900,Tyzzerella-nexilis-DSM-1787-MAF-2,metC,209.1
901,Tyzzerella-nexilis-DSM-1787-MAF-2,metCcustom,393.9
902,Tyzzerella-nexilis-DSM-1787-MAF-2,tnaA,14.9
903,Veillonella-sp-3-1-44-MAF-2,cysK,434.8
904,Veillonella-sp-3-1-44-MAF-2,cysKcustom,518.3
905,Veillonella-sp-3-1-44-MAF-2,cysM,285.4
906,Veillonella-sp-3-1-44-MAF-2,cysMcustom,352.4
907,Veillonella-sp-3-1-44-MAF-2,lcd,60.5
908,Veillonella-sp-3-1-44-MAF-2,lcdcustom,70.0
909,Veillonella-sp-3-1-44-MAF-2,malY,454.7
910,Veillonella-sp-3-1-44-MAF-2,malYcustom,570.0
911,Veillonella-sp-3-1-44-MAF-2,metC,244.2
912,Veillonella-sp-3-1-44-MAF-2,metCcustom,525.3
913,Veillonella-sp-6-1-27-MAF-2,cysK,434.8
914,Veillonella-sp-6-1-27-MAF-2,cysKcustom,518.3
915,Veillonella-sp-6-1-27-MAF-2,cysM,285.4
916,Veillonella-sp-6-1-27-MAF-2,cysMcustom,352.4
917,Veillonella-sp-6-1-27-MAF-2,lcd,60.5
918,Veillonella-sp-6-1-27-MAF-2,lcdcustom,70.4
919,Veillonella-sp-6-1-27-MAF-2,malY,455.4
920,Veillonella-sp-6-1-27-MAF-2,malYcustom,565.8
921,Veillonella-sp-6-1-27-MAF-2,metC,244.2
922,Veillonella-sp-6-1-27-MAF-2,metCcustom,525.3
