,strain,pHMM,hsp_len
875,Streptococcus-thermophilus-LMD-9-MAF-2,cysMcustom,302
876,Streptococcus-thermophilus-LMD-9-MAF-2,lcd,182
877,Streptococcus-thermophilus-LMD-9-MAF-2,lcdcustom,376
878,Streptococcus-thermophilus-LMD-9-MAF-2,malY,378
879,Streptococcus-thermophilus-LMD-9-MAF-2,malYcustom,384
880,Streptococcus-thermophilus-LMD-9-MAF-2,metC,354
881,Streptococcus-thermophilus-LMD-9-MAF-2,metCcustom,358
882,Subdoligranulum-variabile-DSM-15176-MAF-2,cysK,329
883,Subdoligranulum-variabile-DSM-15176-MAF-2,cysKcustom,346
884,Subdoligranulum-variabile-DSM-15176-MAF-2,cysM,300
885,Subdoligranulum-variabile-DSM-15176-MAF-2,cysMcustom,305
886,Subdoligranulum-variabile-DSM-15176-MAF-2,lcd,77
887,Subdoligranulum-variabile-DSM-15176-MAF-2,lcdcustom,78
888,Subdoligranulum-variabile-DSM-15176-MAF-2,malY,375
889,Subdoligranulum-variabile-DSM-15176-MAF-2,malYcustom,401
890,Subdoligranulum-variabile-DSM-15176-MAF-2,metC,195
891,Subdoligranulum-variabile-DSM-15176-MAF-2,metCcustom,217
892,Tyzzerella-nexilis-DSM-1787-MAF-2,cysK,329
893,Tyzzerella-nexilis-DSM-1787-MAF-2,cysKcustom,347
894,Tyzzerella-nexilis-DSM-1787-MAF-2,cysM,301
895,Tyzzerella-nexilis-DSM-1787-MAF-2,cysMcustom,305
896,Tyzzerella-nexilis-DSM-1787-MAF-2,lcd,185
897,Tyzzerella-nexilis-DSM-1787-MAF-2,lcdcustom,334
898,Tyzzerella-nexilis-DSM-1787-MAF-2,malY,378
899,Tyzzerella-nexilis-DSM-1787-MAF-2,malYcustom,380
900,Tyzzerella-nexilis-DSM-1787-MAF-2,metC,223
901,Tyzzerella-nexilis-DSM-1787-MAF-2,metCcustom,226
902,Tyzzerella-nexilis-DSM-1787-MAF-2,tnaA,57
903,Veillonella-sp-3-1-44-MAF-2,cysK,299
904,Veillonella-sp-3-1-44-MAF-2,cysKcustom,308
905,Veillonella-sp-3-1-44-MAF-2,cysM,300
906,Veillonella-sp-3-1-44-MAF-2,cysMcustom,305
907,Veillonella-sp-3-1-44-MAF-2,lcd,221
908,Veillonella-sp-3-1-44-MAF-2,lcdcustom,292
909,Veillonella-sp-3-1-44-MAF-2,malY,384
910,Veillonella-sp-3-1-44-MAF-2,malYcustom,388
911,Veillonella-sp-3-1-44-MAF-2,metC,369
912,Veillonella-sp-3-1-44-MAF-2,metCcustom,377
913,Veillonella-sp-6-1-27-MAF-2,cysK,299
914,Veillonella-sp-6-1-27-MAF-2,cysKcustom,308
915,Veillonella-sp-6-1-27-MAF-2,cysM,300
916,Veillonella-sp-6-1-27-MAF-2,cysMcustom,305
917,Veillonella-sp-6-1-27-MAF-2,lcd,221
918,Veillonella-sp-6-1-27-MAF-2,lcdcustom,292
919,Veillonella-sp-6-1-27-MAF-2,malY,384
920,Veillonella-sp-6-1-27-MAF-2,malYcustom,389
921,Veillonella-sp-6-1-27-MAF-2,metC,369
922,Veillonella-sp-6-1-27-MAF-2,metCcustom,377
